écus	écu
abacuses	abacus
abas	aba
abbés	abbé
abbesses	abbess
abdullas	abdulla
abilities	ability
abnormalities	abnormality
abos	abo
abscesses	abscess
abscissae	abscissa
absences	absence
absorbances	absorbance
absurdities	absurdity
abundances	abundance
abuses	abuse
abysses	abyss
acacias	acacia
academies	academy
acceptances	acceptance
accesses	access
accessories	accessory
accuracies	accuracy
accused	accused
acetabula	acetabulum
acetyltransferases	acetyltransferase
aches	ache
acidaemias	acidaemia
acini	acinus
acmes	acme
acolytes	acolyte
acquaintances	acquaintance
acquiescences	acquiescence
acres	acre
actas	acta
activities	activity
actresses	actress
actuaries	actuary
actuses	actus
addenda	addendum
additivities	additivity
addresses	address
adelphis	adelphi
adenocarcinomata	adenocarcinoma
adenomata	adenoma
adenopathies	adenopathy
adenoviruses	adenovirus
adequacies	adequacy
adherences	adherence
adipocytes	adipocyte
adjacencies	adjacency
admirables	admirable
adrenalectomies	adrenalectomy
adulteries	adultery
advances	advance
adversaries	adversary
adverses	adverse
adversities	adversity
advisories	advisory
adzes	adze
aegises	aegis
aetiologies	aetiology
affinities	affinity
aficionados	aficionado
afros	afro
afterdischarges	afterdischarge
agas	aga
agencies	agency
agendas	agenda
agenesises	agenesis
agonies	agony
agorot	agora
agrs	agr
agues	ague
aids	aid
ailettes	ailette
airbases	airbase
aircraft	aircraft
airmen	airman
aisles	aisle
akalis	akali
albatrosses	albatross
albedos	albedo
albinos	albino
alcaldes	alcalde
aldehydes	aldehyde
aldermen	alderman
alexandras	alexandra
algae	alga
algebras	algebra
alhajis	alhaji
aliases	alias
alibis	alibi
alkalinities	alkalinity
alkalis	alkali
allegiances	allegiance
allegories	allegory
allergies	allergy
alliances	alliance
allies	ally
allowables	allowable
allowances	allowance
alloys	alloy
almas	alma
aloes	aloe
alphas	alpha
alsos	also
alternativas	alternativa
alumnae	alumna
alumni	alumnus
alveoli	alveolus
ambassies	ambassy
ambiences	ambience
ambiguities	ambiguity
ambivalences	ambivalence
ambulances	ambulance
ambushes	ambush
amebae	ameba
amebas	ameba
amenities	amenity
amerikas	amerika
amici	amicus
amigos	amigo
amities	amity
amnesties	amnesty
amnia	amnion
amniocenteses	amniocentesis
amoebae	amoeba
amoebas	amoeba
amoebiases	amoebiasis
amphitheatres	amphitheatre
amphorae	amphora
ampullae	ampulla
amygdalae	amygdala
analogies	analogy
analogues	analogue
analyses	analyse
analyses	analysis
analytes	analyte
anancies	anancy
anaphoras	anaphora
anastomoses	anastomosis
anathemas	anathema
anatomies	anatomy
ancestries	ancestry
anchovies	anchovy
anchyloses	anchylosis
ancillaries	ancillary
angiomata	angioma
angioplasties	angioplasty
angles	angle
anglos	anglo
anguishes	anguish
animas	anima
animosities	animosity
anis	ani
ankles	ankle
annas	anna
annexes	annex
anniversaries	anniversary
annoyances	annoyance
annuities	annuity
annuli	annulus
anomalies	anomaly
ansayris	ansayri
antennae	antenna
anthologies	anthology
anthonies	anthony
antibodies	antibody
antigenicities	antigenicity
antinomies	antinomy
antipathies	antipathy
antiquaries	antiquary
antiquities	antiquity
antis	anti
antitheses	antithesis
antra	antrum
anuses	anus
anxieties	anxiety
anybodies	anybody
aortas	aorta
apaches	apache
apexes	apex
apocalypses	apocalypse
apologias	apologia
apologies	apology
aponeuroses	aponeurosis
apoplexies	apoplexy
aporias	aporia
apostasies	apostasy
apostles	apostle
apostrophes	apostrophe
apothecaries	apothecary
apotheoses	apotheosis
apparatuses	apparatus
appearances	appearance
applauses	applause
apples	apple
appliances	appliance
applies	apply
approaches	approach
apras	apra
apses	apse
aquaria	aquarium
arbitraries	arbitrary
archdioceses	archdiocese
arches	arch
archetypes	archetype
archies	archie
archipelagoes	archipelago
areas	area
arenas	arena
areolae	areola
arguses	argus
arias	aria
aris	ari
aristocracies	aristocracy
armadas	armada
armadillos	armadillo
armies	army
armouries	armoury
aromas	aroma
arroyos	arroyo
arses	arse
arteries	artery
arthropathies	arthropathy
arthroplasties	arthroplasty
articles	article
artificialities	artificiality
artilleries	artillery
artillerymen	artilleryman
artistes	artiste
ashes	ash
ashkenazis	ashkenazi
asparaguses	asparagus
aspergilluses	aspergillus
aspirin	aspirin
asps	asp
assemblies	assembly
assemblymen	assemblyman
asses	ass
assurances	assurance
astrocytes	astrocyte
astrocytomas	astrocytoma
asymmetries	asymmetry
atms	atm
atpases	atpase
atria	atrium
atrocities	atrocity
attachés	attaché
attendances	attendance
attorneys-general	attorney-general
audiences	audience
auditoria	auditorium
auditories	auditory
auguries	augury
augustes	auguste
aunties	auntie
aurae	aura
aurei	aureus
auricles	auricle
aurorae	aurora
austerities	austerity
autarkies	autarky
authorities	authority
autoantibodies	autoantibody
autobiographies	autobiography
automata	automaton
autonomies	autonomy
autopsies	autopsy
autos	auto
auxiliaries	auxiliary
availabilities	availability
avalanches	avalanche
avenues	avenue
avocados	avocado
avoidances	avoidance
axes	axe
axillae	axilla
ayres	ayre
azaleas	azalea
azotaemias	azotaemia
babies	baby
bacchuses	bacchus
bacilli	bacillus
backlashes	backlash
bacteria	bacterium
badges	badge
badmen	badman
bahasas	bahasa
bakeries	bakery
balances	balance
balconies	balcony
balinese	balinese
ballerinas	ballerina
baluches	baluch
bamboos	bamboo
banalities	banality
bananas	banana
banburies	banbury
bandannas	bandanna
bangles	bangle
banjoes	banjo
banjos	banjo
bankruptcies	bankruptcy
barbaras	barbara
barbarities	barbarity
barbecues	barbecue
barbies	barbie
barges	barge
barmen	barman
baronies	barony
barres	barre
barrios	barrio
basemen	baseman
bases	base
bases	basis
basilicas	basilica
basses	bass
batavias	batavia
batches	batch
batteries	battery
battles	battle
bayous	bayou
beaches	beach
beauties	beauty
beauvaises	beauvais
beaux	beau
becauses	because
bedouin	bedouin
beeches	beech
beetles	beetle
belfries	belfry
belles	belle
bellies	belly
bellinis	bellini
benches	bench
beneficences	beneficence
beneficiaries	beneficiary
bengalis	bengali
berries	berry
berthas	bertha
betas	beta
betsies	betsy
betties	betty
bevies	bevy
biases	bias
bibles	bible
bibliographies	bibliography
bicycles	bicycle
bigotries	bigotry
biharis	bihari
bikinis	bikini
binaries	binary
binges	binge
biographies	biography
biopsies	biopsy
bios	bio
birches	birch
bitches	bitch
bivalves	bivalve
bizarres	bizarre
blackberries	blackberry
blackfoot	blackfoot
blasphemies	blasphemy
blemishes	blemish
blitzes	blitz
blockhouses	blockhouse
blondes	blonde
blotches	blotch
blouses	blouse
blueberries	blueberry
