abridgement	abridgment
accoutre	accouter
accoutrement	accouterment
acknowledgement	acknowledgment
adder's tongue	adder-tongue
adze	adz
aeolian	eolian
aeon	eon
aerogramme	aerogram
aesthete	esthete
aesthetic	esthetic
aesthetician	esthetician
aestheticism	estheticism
aestheticize	estheticize
aesthetics	esthetics
aestival	estival
aestivate	estivate
aestivation	estivation
aetiology	etiology
afterwards	afterward
aluminium	aluminum
amenorrhoea	amenorrhea
amoeba	ameba
amoebiasis	amebiasis
amphitheatre	amphitheater
ampoule	ampul
anaemia	anemia
anaemic	anemic
anaesthesia	anesthesia
anaesthesiology	anesthesiology
anaesthetic	anesthetic
anaesthetist	anesthetist
analogue	analog
analyse	analyze
anapaest	anapest
apnoea	apnea
apophthegm	apothegm
appal	appall
aqualung	Aqua-Lung
arbour	arbor
Archaean	Archean
archaeology	archeology
Arctogaea	Arctogea
ardour	ardor
armour	armor
armoured	armored
armourer	armorer
armoury	armory
artefact	artifact
asafoetida	asafetida
Atebrin	Atabrine
Athenaeum	Atheneum
autotune	Auto-Tune
axe	ax
axeman	axman
backdraught	backdraft
bacteraemia	bacteremia
barquentine	barkentine
barrelled	barreled
barrelling	barreling
battleaxe	battleax
behaviour	behavior
behavioural	behavioral
behaviouralism	behavioralism
behaviourism	behaviorism
behove	behoove
bejewelled	bejeweled
belabour	belabor
biocoenosis	biocenosis
bistre	bister
bisulphate	bisulfate
blind man's buff	blind man's bluff
bookshop	bookstore
breathalyse	breathalyze
brinkmanship	brinksmanship
brunette	brunet
burette	buret
burnous	burnoose
caecitis	cecitis
caecum	cecum
caesium	cesium
calibre	caliber
callisthenics	calisthenics
cancellation	cancelation
cancelled	canceled
cancelling	canceling
candour	candor
caravanserai	caravansary
carburetted	carbureted
carburettor	carburetor
catalogue	catalog
catalyse	catalyze
caulk	calk
cellaret	cellarette
centilitre	centiliter
centimetre	centimeter
centre	center
centre field	center field
centreboard	centerboard
centred	centered
centrefold	centerfold
centrepiece	centerpiece
centring	centering
chapstick	Chap Stick
charivari	shivaree
cheque	check
chequer	checker
chequerboard	checkerboard
chequered	checkered
Chinese chequers	Chinese checkers
chukka	chukker
clamour	clamor
clangour	clangor
clerestory	clearstory
coeliac	celiac
colour	color
colourable	colorable
colourant	colorant
coloured	colored
colourful	colorful
colouring	coloring
colourist	colorist
colouristic	coloristic
colourless	colorless
colourway	colorway
compliance	compliancy
concentre	concenter
costumier	costumer
cosy	cozy
coulter	colter
councillor	councilor
counselling	counseling
counsellor	counselor
cross-colour	cross-color
cruellest	cruelest
darn	durn
darned	durned
daysailor	daysailer
decalitre	decaliter
decametre	decameter
decentre	decenter
decilitre	deciliter
decimetre	decimeter
decolour	decolor
defence	defense
defenceless	defenseless
defenceman	defenseman
delustre	deluster
demeanour	demeanor
dentine	dentin
deprogramme	deprogram
diaeresis	dieresis
dialled	dialed
dialler	dialer
dialling	dialing
dialogue	dialog
dialysate	dialyzate
dialyse	dialyze
diarrhoea	diarrhea
diethylstilboestrol	diethylstilbestrol
dimethyl sulphoxide	dimethyl sulfoxide
dioestrus	diestrus
dioptre	diopter
disc	disk
disc-shaped	disk-shaped
discolour	discolor
discoloured	discolored
disenthral	disenthrall
disfavour	disfavor
dishevelled	disheveled
dishonour	dishonor
dishonourable	dishonorable
distil	distill
disulphide	disulfide
dolour	dolor
doughnut	donut
dowelling	doweling
downdraught	downdraft
draught	draft
draughtsperson	draftsperson
draughty	drafty
dysaesthesia	dysesthesia
dysmenorrhoea	dysmenorrhea
dyspnoea	dyspnea
edgeways	edgewise
electrolyse	electrolyze
enamour	enamor
endeavour	endeavor
endorse	indorse
endorsement	indorsement
enrol	enroll
enrolment	enrollment
ensepulchre	ensepulcher
ensorcell	ensorcel
entamoeba	entameba
enterotoxaemia	enterotoxemia
enthral	enthrall
epaulette	epaulet
epicentre	epicenter
epilogue	epilog
Epipalaeolithic	Epipaleolithic
equalled	equaled
equalling	equaling
erythroleukaemia	erythroleukemia
faeces	feces
faggoting	fagoting
favour	favor
favourable	favorable
favourably	favorably
favoured	favored
favouring	favoring
favourite	favorite
favouritism	favoritism
fermenter	fermentor
fervour	fervor
fibre	fiber
fibreboard	fiberboard
fibreglass	fiberglass
fibrescope	fiberscope
flannelled	flanneled
flavour	flavor
flavoured	flavored
flavouring	flavoring
fontanelle	fontanel
framboesia	frambesia
frusemide	furosemide
fuelled	fueled
fuelling	fueling
fulfil	fulfill
fulfilment	fulfillment
full back	fullback
furore	furor
fusee	fuzee
gaiety	gayety
gauge	gage
gauntlet	gantlet
glamour	glamor
glycaemia	glycemia
glycaemic index	glycemic index
glycerine	glycerin
goitre	goiter
gonorrhoea	gonorrhea
goodbye	goodby
gospeller	gospeler
grey	gray
greybeard	graybeard
greywacke	graywacke
groyne	groin
gruelling	grueling
gybe	jibe
gynaecocracy	gynecocracy
gynaecology	gynecology
gynaecomastia	gynecomastia
gynaecophobia	gynecophobia
haem	heme
haemagglutination	hemagglutination
haemagglutinin	hemagglutinin
haemal	hemal
haemangioma	hemangioma
haematemesis	hematemesis
haematic	hematic
haematin	hematin
haematite	hematite
haematocele	hematocele
haematocrit	hematocrit
haematogenous	hematogenous
haematology	hematology
haematoma	hematoma
haematophagous	hematophagous
haematopoiesis	hematopoiesis
haematoxylin	hematoxylin
haematuria	hematuria
haemochromatosis	hemochromatosis
haemocoel	hemocoel
haemocyanin	hemocyanin
haemocyte	hemocyte
haemocytometer	hemocytometer
haemodialysis	hemodialysis
haemodynamic	hemodynamic
haemoglobin	hemoglobin
haemoglobinopathy	hemoglobinopathy
haemoglobinuria	hemoglobinuria
haemolymph	hemolymph
haemolysis	hemolysis
haemolytic	hemolytic
haemophilia	hemophilia
haemopoiesis	hemopoiesis
haemoptysis	hemoptysis
haemorrhage	hemorrhage
haemorrhagic	hemorrhagic
haemorrhoid	hemorrhoid
haemostasis	hemostasis
haemostat	hemostat
half back	halfback
half-arsed	half-assed
harbour	harbor
harbour master	harbormaster
harbourage	harborage
hectolitre	hectoliter
hectometre	hectometer
homologue	homolog
honour	honor
honourable	honorable
hospitaller	hospitaler
hostelling	hosteling
humour	humor
humourless	humorless
hydrolyse	hydrolyze
hypaesthesia	hypesthesia
hyperaemia	hyperemia
hyperaesthesia	hyperesthesia
hypercholesterolaemia	hypercholesterolemia
hyperglycaemia	hyperglycemia
hyperlipaemia	hyperlipemia
hyperlipidaemia	hyperlipidemia
hypnopaedia	hypnopedia
hypocalcaemia	hypocalcemia
hypoglycaemia	hypoglycemia
hypokalaemia	hypokalemia
hypomagnesaemia	hypomagnesemia
hypovolaemia	hypovolemia
hypoxaemia	hypoxemia
incentre	incenter
indraught	indraft
initialled	initialed
initialling	initialing
instalment	installment
ischaemia	ischemia
jewelled	jeweled
jeweller	jeweler
jewellery	jewelry
kerb	curb
kerbside	curbside
kerbstone	curbstone
ketchup	catsup
ketonaemia	ketonemia
kilolitre	kiloliter
kilometre	kilometer
kinaesthesia	kinesthesia
labelled	labeled
labelling	labeling
labour	labor
laboured	labored
labourer	laborer
labourism	laborism
Labourite	Laborite
lacklustre	lackluster
lady's tresses	ladies' tresses
laevorotatory	levorotatory
laevulose	levulose
leucorrhoea	leucorrhea
leukaemia	leukemia
leukaemogenic	leukemogenic
leveller	leveler
libellous	libelous
licence	license
likeable	likable
lipaemia	lipemia
liquorice	licorice
litre	liter
liveable	livable
lodgement	lodgment
logorrhoea	logorrhea
louvre	louver
lustre	luster
lustreless	lusterless
lustreware	lusterware
manoeuvrable	maneuverable
manoeuvre	maneuver
many-splendoured	many-splendored
marvellous	marvelous
meagre	meager
meagreness	meagerness
measuring jug	measuring cup
medallist	medalist
megalitre	megaliter
menfolk	menfolks
metacentre	metacenter
methaemoglobin	methemoglobin
methaemoglobinaemia	methemoglobinemia
metre	meter
microanalyser	microanalyzer
microfibre	microfiber
microlitre	microliter
micrometre	micrometer
millilitre	milliliter
millimetre	millimeter
misbehaviour	misbehavior
misdemeanour	misdemeanor
mitre	miter
modelled	modeled
modelling	modeling
mollusc	mollusk
mould	mold
moulder	molder
moulding	molding
mouldy	moldy
moult	molt
moustache	mustache
mummy's boy	mama's boy
myxoedema	myxedema
naevus	nevus
nanometre	nanometer
neighbour	neighbor
neighbourhood	neighborhood
neighbouring	neighboring
neighbourly	neighborly
Neogaea	Neogea
NiCad	Nicad
nitre	niter
nitroglycerine	nitroglycerin
non-practising	non-practicing
normoglycaemia	normoglycemia
Notogaea	Notogea
obbligato	obligato
ochre	ocher
odour	odor
odourless	odorless
oedema	edema
oenology	enology
oenophile	enophile
oesophagitis	esophagitis
oesophagoscope	esophagoscope
oesophagus	esophagus
oestradiol	estradiol
oestriol	estriol
oestrogen	estrogen
oestrone	estrone
oestrus	estrus
offence	offense
oligaemia	oligemia
omelette	omelet
organdie	organdy
orthopaedics	orthopedics
overanalyse	overanalyze
overfulfil	overfulfill
oxyhaemoglobin	oxyhemoglobin
pachisi	parcheesi
paediatrician	pediatrician
paediatrics	pediatrics
paedo	pedo
paedodontics	pedodontics
paedophile	pedophile
paedophilia	pedophilia
Palaearctic	Palearctic
Palaeo-Eskimo	Paleo-Eskimo
palaeoanthropology	paleoanthropology
palaeobiology	paleobiology
palaeobotany	paleobotany
Palaeocene	Paleocene
palaeoclimate	paleoclimate
palaeocurrent	paleocurrent
palaeodemography	paleodemography
palaeoecology	paleoecology
palaeoenvironment	paleoenvironment
palaeoethnobotany	paleoethnobotany
Palaeogene	Paleogene
palaeogeography	paleogeography
palaeography	paleography
palaeolatitude	paleolatitude
Palaeolithic	Paleolithic
palaeomagnetism	paleomagnetism
palaeontology	paleontology
palaeopathology	paleopathology
palaeopole	paleopole
palaeosol	paleosol
palaeotemperature	paleotemperature
Palaeotropical	Paleotropical
Palaeozoic	Paleozoic
panelling	paneling
panellist	panelist
paraesthesia	paresthesia
paralyse	paralyze
paralysed	paralyzed
parasitaemia	parasitemia
parlour	parlor
particoloured	particolored
pay cheque	paycheck
pentobarbitone	pentobarbital
per cent	percent
pharmacopoeia	pharmacopeia
philtre	philter
phonaesthesia	phonesthesia
